# Time-averaged data for fix 5
# TimeStep Number-of-rows
# Row c_AA[1] c_AA[2] c_AA[3]
200000 500
1 0.0035 0 0
2 0.0105 0 0
3 0.0175 0 0
4 0.0245 0 0
5 0.0315 0 0
6 0.0385 0 0
7 0.0455 0 0
8 0.0525 0 0
9 0.0595 0 0
10 0.0665 0 0
11 0.0735 0 0
12 0.0805 0 0
13 0.0875 0 0
14 0.0945 0 0
15 0.1015 0 0
16 0.1085 0 0
17 0.1155 0 0
18 0.1225 0 0
19 0.1295 0 0
20 0.1365 0 0
21 0.1435 0 0
22 0.1505 0 0
23 0.1575 0 0
24 0.1645 0 0
25 0.1715 0 0
26 0.1785 0 0
27 0.1855 0 0
28 0.1925 0 0
29 0.1995 0 0
30 0.2065 0 0
31 0.2135 0 0
32 0.2205 0 0
33 0.2275 0 0
34 0.2345 0 0
35 0.2415 0 0
36 0.2485 0 0
37 0.2555 0 0
38 0.2625 0 0
39 0.2695 0 0
40 0.2765 0 0
41 0.2835 0 0
42 0.2905 0 0
43 0.2975 0 0
44 0.3045 0 0
45 0.3115 0 0
46 0.3185 0 0
47 0.3255 0 0
48 0.3325 0 0
49 0.3395 0 0
50 0.3465 0 0
51 0.3535 0 0
52 0.3605 0 0
53 0.3675 0 0
54 0.3745 0 0
55 0.3815 0 0
56 0.3885 0 0
57 0.3955 0 0
58 0.4025 0 0
59 0.4095 0 0
60 0.4165 0 0
61 0.4235 0 0
62 0.4305 0 0
63 0.4375 0 0
64 0.4445 0 0
65 0.4515 0 0
66 0.4585 0 0
67 0.4655 0 0
68 0.4725 0 0
69 0.4795 0 0
70 0.4865 0 0
71 0.4935 0 0
72 0.5005 0 0
73 0.5075 0 0
74 0.5145 0 0
75 0.5215 0 0
76 0.5285 0 0
77 0.5355 0 0
78 0.5425 0 0
79 0.5495 0 0
80 0.5565 0 0
81 0.5635 0 0
82 0.5705 0 0
83 0.5775 0 0
84 0.5845 0 0
85 0.5915 0 0
86 0.5985 0 0
87 0.6055 0 0
88 0.6125 0 0
89 0.6195 0 0
90 0.6265 0 0
91 0.6335 0 0
92 0.6405 0 0
93 0.6475 0 0
94 0.6545 0 0
95 0.6615 0 0
96 0.6685 0 0
97 0.6755 0 0
98 0.6825 0 0
99 0.6895 0 0
100 0.6965 0 0
101 0.7035 0 0
102 0.7105 0 0
103 0.7175 0 0
104 0.7245 0 0
105 0.7315 0 0
106 0.7385 0 0
107 0.7455 0 0
108 0.7525 0 0
109 0.7595 0 0
110 0.7665 0 0
111 0.7735 0 0
112 0.7805 0 0
113 0.7875 0 0
114 0.7945 0 0
115 0.8015 0 0
116 0.8085 0 0
117 0.8155 0 0
118 0.8225 0 0
119 0.8295 0 0
120 0.8365 0 0
121 0.8435 0 0
122 0.8505 0 0
123 0.8575 0 0
124 0.8645 0 0
125 0.8715 0 0
126 0.8785 0 0
127 0.8855 0.000792249 2.731e-05
128 0.8925 0.00103983 6.37233e-05
129 0.8995 0.00153556 0.000118343
130 0.9065 0.00503978 0.00030041
131 0.9135 0.0129034 0.000773782
132 0.9205 0.0207725 0.00154756
133 0.9275 0.0414017 0.00311334
134 0.9345 0.0675778 0.00570778
135 0.9415 0.111195 0.010041
136 0.9485 0.176308 0.0170141
137 0.9555 0.253117 0.0271734
138 0.9625 0.379984 0.0426491
139 0.9695 0.501632 0.0633773
140 0.9765 0.638441 0.0901411
141 0.9835 0.808781 0.124533
142 0.9905 0.966662 0.166227
143 0.9975 1.16292 0.217096
144 1.0045 1.37353 0.278025
145 1.0115 1.54686 0.347601
146 1.0185 1.7175 0.425926
147 1.0255 1.8993 0.513737
148 1.0325 2.06554 0.610542
149 1.0395 2.19668 0.714893
150 1.0465 2.26893 0.824133
151 1.0535 2.3762 0.940073
152 1.0605 2.50106 1.06373
153 1.0675 2.57303 1.19264
154 1.0745 2.64974 1.32713
155 1.0815 2.59324 1.46047
156 1.0885 2.693 1.60075
157 1.0955 2.64265 1.74017
158 1.1025 2.66422 1.88254
159 1.1095 2.60295 2.0234
160 1.1165 2.57058 2.16428
161 1.1235 2.56818 2.30679
162 1.1305 2.54927 2.45002
163 1.1375 2.48407 2.59132
164 1.1445 2.42722 2.7311
165 1.1515 2.38702 2.87024
166 1.1585 2.33512 3.00802
167 1.1655 2.28231 3.14431
168 1.1725 2.22109 3.27855
169 1.1795 2.16519 3.41098
170 1.1865 2.1506 3.54408
171 1.1935 2.10931 3.67617
172 1.2005 2.06108 3.80675
173 1.2075 1.99067 3.93436
174 1.2145 1.95431 4.06108
175 1.2215 1.90172 4.18583
176 1.2285 1.85775 4.30909
177 1.2355 1.78331 4.42876
178 1.2425 1.76542 4.54858
179 1.2495 1.70431 4.66555
180 1.2565 1.67711 4.78196
181 1.2635 1.60592 4.89467
182 1.2705 1.57724 5.00659
183 1.2775 1.57206 5.11938
184 1.2845 1.51581 5.22933
185 1.2915 1.50836 5.33994
186 1.2985 1.43209 5.44609
187 1.3055 1.41398 5.55203
188 1.3125 1.3761 5.65625
189 1.3195 1.37533 5.76152
190 1.3265 1.34885 5.86586
191 1.3335 1.33764 5.97043
192 1.3405 1.31391 6.07423
193 1.3475 1.2841 6.17673
194 1.3545 1.24694 6.27731
195 1.3615 1.24588 6.37883
196 1.3685 1.22797 6.47994
197 1.3755 1.1969 6.57949
198 1.3825 1.16444 6.67733
199 1.3895 1.15102 6.77503
200 1.3965 1.1377 6.87257
201 1.4035 1.14446 6.97168
202 1.4105 1.0915 7.06715
203 1.4175 1.0825 7.16277
204 1.4245 1.07923 7.25904
205 1.4315 1.04971 7.35361
206 1.4385 1.04542 7.44871
207 1.4455 1.01153 7.54163
208 1.4525 1.01741 7.63599
209 1.4595 1.00486 7.7301
210 1.4665 1.00087 7.82472
211 1.4735 0.993294 7.91954
212 1.4805 0.976744 8.01365
213 1.4875 0.957746 8.10682
214 1.4945 0.949722 8.20007
215 1.5015 0.944011 8.29364
216 1.5085 0.941549 8.38783
217 1.5155 0.931428 8.48188
218 1.5225 0.933067 8.57696
219 1.5295 0.950658 8.67473
220 1.5365 0.922982 8.77052
221 1.5435 0.918889 8.86676
222 1.5505 0.9026 8.96216
223 1.5575 0.896383 9.05775
224 1.5645 0.891933 9.15373
225 1.5715 0.895492 9.25095
226 1.5785 0.887235 9.34814
227 1.5855 0.893009 9.44683
228 1.5925 0.898975 9.54706
229 1.5995 0.898246 9.64808
230 1.6065 0.890114 9.74908
231 1.6135 0.891952 9.85116
232 1.6205 0.891597 9.95409
233 1.6275 0.902237 10.0592
234 1.6345 0.902199 10.1651
235 1.6415 0.899516 10.2717
236 1.6485 0.89456 10.3785
237 1.6555 0.868198 10.4831
238 1.6625 0.870791 10.589
239 1.6695 0.887352 10.6977
240 1.6765 0.898892 10.8088
241 1.6835 0.881642 10.9186
242 1.6905 0.901238 11.0318
243 1.6975 0.920912 11.1485
244 1.7045 0.913649 11.2652
245 1.7115 0.917501 11.3833
246 1.7185 0.92133 11.503
247 1.7255 0.935709 11.6254
248 1.7325 0.936303 11.749
249 1.7395 0.946781 11.8749
250 1.7465 0.933979 12.0002
251 1.7535 0.971389 12.1315
252 1.7605 0.95927 12.2622
253 1.7675 0.953146 12.3931
254 1.7745 0.956886 12.5256
255 1.7815 0.966736 12.6604
256 1.7885 0.955493 12.7948
257 1.7955 0.984156 12.9343
258 1.8025 0.98615 13.0751
259 1.8095 0.982393 13.2165
260 1.8165 0.99178 13.3604
261 1.8235 1.00398 13.5072
262 1.8305 0.998297 13.6542
