# Chunk-averaged data for fix 3 and group density/number
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass density/number
5000000 50 6464
  1 0.01 128 0.727585 0.0970419
  2 0.03 121 0.870897 0.0917349
  3 0.05 125 0.854677 0.0947675
  4 0.07 145 0.897543 0.10993
  5 0.09 122 0.985404 0.0924931
  6 0.11 116 0.611584 0.0879442
  7 0.13 127 0.879722 0.0962838
  8 0.15 141 1.16171 0.106898
  9 0.17 121 0.761293 0.0917349
  10 0.19 110 0.913381 0.0833954
  11 0.21 134 0.96271 0.101591
  12 0.23 133 1.05581 0.100833
  13 0.25 128 0.879604 0.0970419
  14 0.27 127 0.9727 0.0962838
  15 0.29 127 0.953827 0.0962838
  16 0.31 143 1.16286 0.108414
  17 0.33 132 0.828061 0.100074
  18 0.35 116 1.01536 0.0879442
  19 0.37 135 1.0206 0.102349
  20 0.39 126 0.914812 0.0955256
  21 0.41 135 1.05834 0.102349
  22 0.43 129 0.956365 0.0978
  23 0.45 149 1.13273 0.112963
  24 0.47 128 0.91735 0.0970419
  25 0.49 127 1.08594 0.0962838
  26 0.51 127 0.840589 0.0962838
  27 0.53 159 1.23978 0.120544
  28 0.55 125 0.970162 0.0947675
  29 0.57 144 1.03202 0.109172
  30 0.59 127 1.04819 0.0962838
  31 0.61 133 0.942568 0.100833
  32 0.63 144 1.08864 0.109172
  33 0.65 119 0.919781 0.0902186
  34 0.67 129 0.860789 0.0978
  35 0.69 110 0.878234 0.0833954
  36 0.71 122 0.804118 0.0924931
  37 0.73 128 0.804288 0.0970419
  38 0.75 155 1.23246 0.117512
  39 0.77 127 0.713675 0.0962838
  40 0.79 115 0.775151 0.0871861
  41 0.81 121 0.875918 0.0917349
  42 0.83 136 0.837123 0.103107
  43 0.85 119 0.75772 0.0902186
  44 0.87 122 0.833209 0.0924931
  45 0.89 134 0.861077 0.101591
  46 0.91 118 0.721127 0.0894605
  47 0.93 126 0.858369 0.0955256
  48 0.95 122 0.752696 0.0924931
  49 0.97 126 0.824433 0.0955256
  50 0.99 151 1.08142 0.114479
